Дата,Корпус,Кол-во активных квартир
2023-07-02,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-02,"ул. Валентины Трофимовой, д. 8, подъезд 1",69
2023-07-02,"ул. Валентины Трофимовой, д. 8, подъезд 2",60
2023-07-02,"ул. Монтажников 36, (ГП-4.7), подъезд 1",23
2023-07-02,"ул. Монтажников, д. 38, подъезд 1",42
2023-07-02,"ул. Монтажников, д. 38, подъезд 2",22
2023-07-02,"ул. Монтажников, д. 38, подъезд 3",45
2023-07-02,"ул. Монтажников, д. 40, подъезд 1",68
2023-07-02,"ул. Монтажников, д. 40, подъезд 2",66
2023-07-02,"ул. Монтажников, д. 40, подъезд 3",70
2023-07-02,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",3
2023-07-02,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-02,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-02,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",4
2023-07-03,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-03,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",10
2023-07-03,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",9
2023-07-03,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",10
2023-07-03,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",5
2023-07-03,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-03,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",65
2023-07-03,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",55
2023-07-03,"ул. Валентины Трофимовой, д. 12, подъезд 1",44
2023-07-03,"ул. Валентины Трофимовой, д. 12, подъезд 2",29
2023-07-03,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",5
2023-07-03,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-03,"ул. Валентины Трофимовой, д. 8, подъезд 1",69
2023-07-03,"ул. Валентины Трофимовой, д. 8, подъезд 2",60
2023-07-03,"ул. Монтажников 36, (ГП-4.7), подъезд 1",23
2023-07-03,"ул. Монтажников, д. 38, подъезд 1",42
2023-07-03,"ул. Монтажников, д. 38, подъезд 2",22
2023-07-03,"ул. Монтажников, д. 38, подъезд 3",45
2023-07-03,"ул. Монтажников, д. 40, подъезд 1",68
2023-07-03,"ул. Монтажников, д. 40, подъезд 2",66
2023-07-03,"ул. Монтажников, д. 40, подъезд 3",70
2023-07-03,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",3
2023-07-03,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-03,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-03,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",4
2023-07-04,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-04,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",10
2023-07-04,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",8
2023-07-04,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",10
2023-07-04,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",5
2023-07-04,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-04,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",65
2023-07-04,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",54
2023-07-04,"ул. Валентины Трофимовой, д. 12, подъезд 1",44
2023-07-04,"ул. Валентины Трофимовой, д. 12, подъезд 2",29
2023-07-04,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",5
2023-07-04,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-04,"ул. Валентины Трофимовой, д. 8, подъезд 1",68
2023-07-04,"ул. Валентины Трофимовой, д. 8, подъезд 2",58
2023-07-04,"ул. Монтажников 36, (ГП-4.7), подъезд 1",23
2023-07-04,"ул. Монтажников, д. 38, подъезд 1",42
2023-07-04,"ул. Монтажников, д. 38, подъезд 2",21
2023-07-04,"ул. Монтажников, д. 38, подъезд 3",44
2023-07-04,"ул. Монтажников, д. 40, подъезд 1",68
2023-07-04,"ул. Монтажников, д. 40, подъезд 2",66
2023-07-04,"ул. Монтажников, д. 40, подъезд 3",70
2023-07-04,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",3
2023-07-04,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-04,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-04,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",4
2023-07-05,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-05,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-05,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-05,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-05,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-05,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-05,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-05,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-05,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-05,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-05,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-05,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-05,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-05,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-05,"ул. Монтажников 36, (ГП-4.7), подъезд 1",22
2023-07-05,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-05,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-05,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-05,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-05,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-05,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-05,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-05,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-05,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-05,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-06,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-06,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-06,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-06,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-06,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-06,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-06,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-06,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-06,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-06,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-06,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-06,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-06,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-06,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-06,"ул. Монтажников 36, (ГП-4.7), подъезд 1",22
2023-07-06,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-06,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-06,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-06,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-06,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-06,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-06,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-06,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-06,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-06,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-07,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-07,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-07,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-07,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-07,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-07,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-07,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-07,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-07,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-07,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-07,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-07,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-07,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-07,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-07,"ул. Монтажников 36, (ГП-4.7), подъезд 1",22
2023-07-07,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-07,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-07,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-07,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-07,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-07,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-07,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-07,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-07,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-07,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-08,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-08,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-08,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-08,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-08,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-08,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-08,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-08,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-08,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-08,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-08,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-08,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-08,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-08,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-08,"ул. Монтажников 36, (ГП-4.7), подъезд 1",22
2023-07-08,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-08,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-08,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-08,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-08,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-08,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-08,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-08,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-08,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-08,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-09,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-09,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-09,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-09,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-09,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-09,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-09,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-09,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-09,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-09,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-09,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-09,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-09,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-09,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-09,"ул. Монтажников 36, (ГП-4.7), подъезд 1",22
2023-07-09,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-09,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-09,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-09,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-09,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-09,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-09,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-09,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-09,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-09,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-10,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-10,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-10,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-10,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-10,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-10,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-10,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-10,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-10,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-10,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-10,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-10,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-10,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-10,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-10,"ул. Монтажников 36, (ГП-4.7), подъезд 1",22
2023-07-10,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-10,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-10,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-10,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-10,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-10,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-10,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-10,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-10,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-10,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-11,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-11,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-11,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-11,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-11,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-11,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-11,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-11,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-11,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-11,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-11,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-11,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-11,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-11,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-11,"ул. Монтажников 36, (ГП-4.7), подъезд 1",22
2023-07-11,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-11,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-11,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-11,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-11,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-11,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-11,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-11,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-11,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-11,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-12,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-12,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-12,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-12,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-12,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-12,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-12,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-12,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-12,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-12,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-12,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-12,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-12,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-12,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-12,"ул. Монтажников 36, (ГП-4.7), подъезд 1",22
2023-07-12,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-12,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-12,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-12,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-12,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-12,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-12,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-12,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-12,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-12,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-13,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-13,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-13,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-13,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-13,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-13,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-13,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-13,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-13,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-13,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-13,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-13,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-13,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-13,"ул. Валентины Трофимовой, д. 8, подъезд 2",50
2023-07-13,"ул. Монтажников 36, (ГП-4.7), подъезд 1",23
2023-07-13,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-13,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-13,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-13,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-13,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-13,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-13,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-13,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-13,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-13,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-14,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
2023-07-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",4
2023-07-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-14,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",54
2023-07-14,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",47
2023-07-14,"ул. Валентины Трофимовой, д. 12, подъезд 1",43
2023-07-14,"ул. Валентины Трофимовой, д. 12, подъезд 2",28
2023-07-14,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",4
2023-07-14,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-14,"ул. Валентины Трофимовой, д. 8, подъезд 1",60
2023-07-14,"ул. Валентины Трофимовой, д. 8, подъезд 2",49
2023-07-14,"ул. Монтажников 36, (ГП-4.7), подъезд 1",26
2023-07-14,"ул. Монтажников, д. 38, подъезд 1",34
2023-07-14,"ул. Монтажников, д. 38, подъезд 2",19
2023-07-14,"ул. Монтажников, д. 38, подъезд 3",41
2023-07-14,"ул. Монтажников, д. 40, подъезд 1",65
2023-07-14,"ул. Монтажников, д. 40, подъезд 2",63
2023-07-14,"ул. Монтажников, д. 40, подъезд 3",69
2023-07-14,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-07-14,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-14,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-14,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",3
2023-07-15,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-15,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",9
2023-07-15,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",7
2023-07-15,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",8
